'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
801.44,800,800,0.5521,-0.1511,3.4442,32,23.497,2.9318,20.797,0.0080863,74.93,2.2137,69.124,83.799,24.882,244.27,83.595,135.78,50.001,17.112,27.794,34.224,55.59,0.62,488.53,0.015649,14.726,29.788,2.0229,1.2096,1.4606,0.78482,1.2271,602.6,1,3.875
1061.5,1060,1028,1.316,0.10978,4.9302,48,36.276,3.4175,50.529,0.28826,56.591,1.9409,49.18,67.568,51.989,258.68,93.329,622.63,25.197,9.0909,60.648,12.153,81.077,0.15,1026.6,0.046218,35.793,36.753,1.0268,0.9976,2.0312,0.376,1.0328,167.88,2,4.5
862.54,856,844,5.4838,0.35478,2.6089,108,74.052,8.5854,41.717,0.19942,70.067,5.9281,56.818,82.873,525.36,2693.5,2399.8,699.84,42.629,37.98,11.076,66.201,19.306,3.43,6318.5,0.027469,29.539,100.47,3.4014,1.0951,1.3737,1.2585,0.68479,84.875,1,3.625
956.96,960,968,0.9442,-0.24685,2.8369,44,30.728,3.211,17.147,0.0064309,62.764,2.0371,57.915,70.093,91.402,456.46,188.49,86.02,55.505,22.92,10.46,51.512,23.508,2.19,822.37,0.024077,12.144,41.724,3.4357,1.0927,1.4353,1.2829,0.97424,259.92,1,3.875
860.53,864,852,1.9158,0.12436,4.567,52,43.77,5.0865,37.353,0.12392,69.905,3.58,58.594,81.522,54.008,350.09,385.35,487.2,27.423,30.185,38.162,41.59,52.582,0.79,1276.7,0.036864,26.451,55.965,2.1158,1.0702,1.3418,0.93943,0.97366,202.36,3,6.25
807.88,812,828,0.68538,-0.35867,2.3457,40,26.18,3.2406,9.3496,0,74.347,2.4424,69.444,81.081,91.657,532.13,44.984,27.482,76.428,6.461,3.9471,27.409,16.745,1.64,696.25,0.00071954,6.6198,36.427,5.5027,0.8613,0.91133,1.1942,1.3658,740.96,3,5.75
755.77,756,756,1.5732,-0.20635,3.9299,44,39.663,5.248,20.337,0.022727,79.612,4.2767,69.444,95.541,71.316,670.29,324.86,125.64,56.227,27.251,10.54,62.255,24.078,2.59,1192.1,0.03565,14.397,54.213,3.7655,1.114,1.6765,1.3008,1.0688,359.84,1,4.375
878.11,880,884,0.43816,-1.2832,13.834,24,20.932,2.3838,20.199,0.020588,68.369,1.7009,64.378,84.27,18.311,126.79,124.86,92.394,34.99,34.458,25.498,53.004,39.222,1.35,362.35,0.053447,14.304,25.918,1.8119,1.1058,1.2455,0.98008,0.76522,254.77,1,4.375
863.59,860,860,1.7244,0.11277,2.8878,52,41.526,4.8086,26.095,0.040462,69.638,3.3518,61.224,77.72,169.59,919.85,511.36,237.34,50.043,27.82,12.912,55.687,25.846,2.15,1838.1,0.010566,18.479,55.744,3.0166,1.1688,1.4171,1.1157,1.0661,198.38,1,3.125
781.15,780,804,1.909,0.26261,3.0338,60,43.692,5.5933,26.429,0.042216,77.048,4.2854,66.079,89.286,65.801,714.61,1034.3,311.94,33.602,48.636,14.668,73.249,22.091,3.32,2126.7,0.1992,18.751,59.306,3.1627,1.0917,1.2799,1.3213,0.74199,208.17,2,5
805.09,808,836,1.5813,-0.67772,3.6091,56,39.766,4.9393,16.135,0,74.715,3.8518,67.568,89.82,228.03,1218.4,238.91,83.671,68.875,13.505,4.7297,43.389,15.196,2.86,1769.1,0.0094316,11.424,55.064,4.82,1.0776,1.4546,1.2485,1.2246,219.24,2,4.625
1043.1,1040,1040,0.67527,-0.15026,2.4308,36,25.986,2.4912,27.366,0.0035088,57.557,1.4412,54.348,61.224,51.367,272.6,29.271,280.25,43.031,4.6207,44.239,8.1109,77.655,0.1,633.48,0.19625,19.384,31.222,1.6107,0.86927,1.0653,0.40955,0.99321,605.16,1,4
792.24,792,800,0.32441,-0.062084,3.1796,24,18.011,2.2735,12.035,0,75.773,1.7281,72.115,83.333,17.73,136.31,54.265,59.537,50.891,20.26,22.229,41.256,45.265,0.91,267.84,0.0066519,8.5216,24.004,2.8169,0.91795,2.3859,0.95324,0.97798,685.23,1,4.375
804.15,804,800,0.46833,0.20565,3.642,26,21.641,2.6912,11.813,0.0026954,74.667,2.0039,68.493,80.214,23.38,275.84,90.305,51.776,62.506,20.463,11.733,54.578,31.292,1.74,441.3,0.0079989,8.3646,29.44,3.5195,1.0538,1.127,1.1461,1.2671,658.6,2,4.625
685.92,692,700,1.1679,-0.90544,4.0211,40,34.174,4.9822,36.565,0.16359,87.702,4.6179,78.947,107.91,63.57,410.74,210.57,139.54,49.822,25.542,16.925,50.902,33.731,1.51,824.42,0.020277,25.886,40.813,1.5767,1.2018,1.8548,0.73047,0.90285,448.28,3,6.5
904,908,928,2.2099,-0.1882,3.0457,60,47.01,5.2002,38.014,0.21884,66.554,3.5252,59.289,79.365,136.29,1129,265.05,627.47,52.322,12.283,29.079,25.763,60.99,0.42,2157.8,0.042663,26.812,61.202,2.2826,1.206,1.7882,0.67588,1.1442,175.03,1,4.375
842.52,844,848,0.98172,-0.40948,3.7954,40,31.332,3.7189,18.254,0.0084746,71.315,2.7085,64.655,81.967,36.82,334.25,468.91,134.32,34.306,48.128,13.786,73.262,20.986,3.49,974.3,0.081698,12.925,42.384,3.2793,1.1425,1.5746,1.2293,0.74806,350.45,1,3.375
777.03,780,788,0.97137,-0.41538,3.5278,36,31.167,4.011,21.204,0.012987,77.344,3.1739,70.093,92.593,35.678,416.77,219.04,183.59,48.741,25.616,21.47,49.974,41.886,1.19,855.08,0.0090311,15.013,41.441,2.7604,1.2374,1.6916,1.1057,1.1764,328.77,2,4.625
789.21,788,796,1.1934,0.23674,3.0123,51,34.546,4.3772,18.05,0.010582,76.17,3.3196,67.568,92.025,131.94,648.54,280.06,143.7,53.855,23.256,11.933,50.399,25.859,1.95,1204.2,0.0086979,12.779,47.154,3.6899,1.0972,1.3245,1.0214,1.0514,239.99,2,5.375
