'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
736.39,736,752,0.84777,-0.38604,3.4375,40,29.116,3.9539,18.007,0.0098522,81.608,3.2963,75.377,97.403,45.252,365.95,245.83,133.27,46.305,31.106,16.863,57.93,31.406,1.84,790.31,0.014919,12.749,39.154,3.0712,1.0747,1.2142,1.2017,0.927,346.33,2,5.25
813.63,820,776,1.3701,-0.20688,2.6937,67,37.015,4.5493,19.953,0.0081967,73.898,3.4119,63.559,89.82,207.46,901.68,110.18,77.631,69.523,8.4953,5.9856,27.874,19.64,1.42,1296.9,0.002564,14.128,50.404,3.5678,0.95725,1.0589,0.97124,1.3047,186.1,2,4.875
802.79,804,816,0.40304,-0.49229,3.1783,24,20.076,2.5008,14.701,0,74.787,1.8971,70.423,81.081,26.056,170.73,88.967,61.052,49.23,25.653,17.604,50.528,34.674,1.46,346.81,0.038115,10.409,26.415,2.5377,1.2307,1.4094,1.1951,0.79463,975.79,2,5.25
756.46,760,764,0.18015,-0.24565,3.0604,16,13.422,1.7743,6.7957,0,79.341,1.4152,74.627,83.333,24.244,118.13,25.979,16.002,64.077,14.092,8.6802,39.228,24.163,1.62,184.35,0.0029045,4.8114,18.362,3.8163,1.1011,1.597,1.0172,1.1097,1200.1,1,2.875
1012,1016,1048,2.5435,-1.5607,7.4557,55,50.433,4.9833,28.277,0.05102,59.448,3.27,53.957,76.923,169.35,1544.2,300.24,294.2,66.906,13.009,12.747,39.309,38.518,1.02,2308,0.0025862,20.029,68.453,3.4177,1.0598,1.3631,1.1121,1.1733,134.77,2,5.5
1061.1,1064,1080,1.5806,-0.00032129,2.3853,60,39.757,3.7469,36.118,0.17438,56.626,2.1279,51.903,61.983,149.12,906.88,173.63,412.41,55.229,10.574,25.116,23.619,56.098,0.42,1642,0.0035062,25.584,50.066,1.9569,0.8318,1.7173,0.64006,0.97985,175.66,1,4
846.81,844,856,1.4718,0.42885,3.1159,48,38.364,4.5304,25.863,0.036827,70.997,3.1734,62.762,78.125,127.17,792.52,302.67,231.84,54.499,20.813,15.943,45.743,35.039,1.31,1454.2,0.019647,18.313,51.071,2.7887,1.049,1.7305,0.9878,1.0002,285.46,3,6.375
890.26,892,888,0.19239,-0.38798,3.276,16,13.87,1.558,6.4356,0,67.412,1.0575,64.935,71.77,8.4588,126.68,25.029,11.456,73.812,14.584,6.6753,55.69,25.49,2.18,171.62,0.00761,4.5575,19.079,4.1862,1.0519,1.6103,1.3741,1.3578,1962.3,1,2.625
915.07,920,920,1.1914,-0.9598,4.2937,36,34.516,3.7719,19.802,0.0091743,65.666,2.5835,60.241,75.758,165.81,897.57,78.746,100.23,72.248,6.3384,8.0677,22.839,29.07,0.79,1242.3,0.0086684,14.024,46.755,3.3341,1.0423,1.4197,1.2081,1.007,243.57,3,6.5
945.82,948,952,6.9745,-0.43485,5.5565,92,83.513,8.8297,120.82,0.59155,63.982,6.4297,53.191,123.97,119.09,1163.6,1792.4,4047.9,16.336,25.164,56.828,30.077,67.924,0.44,7123,0.015241,85.584,81.39,0.951,0.96974,1.2674,0.47947,0.59324,52.167,1,2.75
722.44,724,724,0.13646,-0.5255,8.0177,12,11.682,1.617,10.775,0.0048426,83.073,1.3587,78.125,93.168,10.19,55.523,21.111,25.11,49.603,18.86,22.433,37.423,44.512,0.84,111.93,0.013322,7.6285,14.654,1.9209,1.2402,1.8339,0.77702,1.0059,880.78,3,6.5
757.43,756,756,0.31245,0.18321,8.8202,24,17.676,2.3337,14.727,0.0076336,79.258,1.855,71.09,93.75,34.721,189.39,19.319,37.677,67.373,6.8724,13.403,21.063,41.08,0.51,281.1,0.0019871,10.427,22.72,2.179,1.06,1.8158,0.83793,1.3661,545.55,1,4
797.79,800,816,1.2243,0.17628,2.5436,48,34.99,4.3859,25.695,0.034667,75.352,3.2934,66.667,82.873,45.375,228.18,293.41,634.99,18.984,24.411,52.83,30.131,65.209,0.46,1202,0.33663,18.193,46.018,2.5294,1.0261,1.4019,0.88967,0.52675,308,2,5.375
1006.3,1004,996,0.9253,-0.45879,3.285,44,30.419,3.0227,27.242,0.067568,59.677,1.8347,56.391,66.667,39.526,552.74,148.69,229.05,56.983,15.329,23.614,35.634,54.893,0.65,970.01,0.095378,19.133,38.808,2.0283,1.0446,1.7461,0.81232,1.0028,378.62,2,5.625
1060.6,1064,1056,1.7427,-0.24605,4.2817,44,41.745,3.9362,39.599,0.19217,56.663,2.2691,49.18,65.217,46.557,952.58,270.73,422.29,56.294,15.999,24.956,36.606,57.099,0.64,1692.1,0.0051009,28.051,51.947,1.8519,1.0725,1.4772,0.81821,1.1632,137.68,2,5.875
937.69,940,932,1.3732,-0.96262,5.8961,40,37.057,3.9519,26.642,0.034483,64.092,2.6602,57.252,78.125,96.971,801.64,302.21,214.88,56.625,21.347,15.179,49.215,34.993,1.41,1415.7,0.019316,18.868,48.891,2.5912,1.0751,1.6629,1.0838,0.90645,192.24,3,7.5
755.77,756,756,1.5732,-0.20635,3.9299,44,39.663,5.248,20.337,0.022727,79.612,4.2767,69.444,95.541,71.316,670.29,324.86,125.64,56.227,27.251,10.54,62.255,24.078,2.59,1192.1,0.03565,14.397,54.213,3.7655,1.114,1.6765,1.3008,1.0688,359.84,2,5.25
909.37,912,912,0.64001,0.062021,2.92,36,25.298,2.782,19.61,0.021341,66.03,1.8378,60.729,71.429,33.618,312.11,232.99,104.57,45.678,34.098,15.304,62.77,28.172,2.23,683.29,0.061112,13.94,33.121,2.3761,1.1738,1.5319,1.1828,0.67603,477.7,1,3.75
893.19,888,880,0.94931,0.38198,2.5587,48,30.811,3.4495,20.132,0.01194,67.254,2.2955,60.976,73.171,100.78,526.52,206.92,132.59,54.46,21.402,13.714,46.997,30.113,1.56,966.81,0.010021,14.256,41.175,2.8882,1.083,1.3867,1.0839,1.0045,294.24,1,3.625
1229.9,1224,1188,4.9673,0.43012,3.385,84,70.479,5.7303,43.574,0.225,48.94,2.7666,41.551,57.471,633.8,3241.8,582.53,376.2,67.058,12.05,7.7819,36.579,23.623,1.55,4834.3,0.002931,30.876,94.77,3.0694,0.99995,1.4486,0.96354,0.94239,66.362,1,4.5
812.61,816,812,1.1097,0.42147,7.4621,44,33.312,4.0994,25.405,0.019231,73.959,3.0193,58.14,84.27,72.895,671.98,211.25,280.8,54.327,17.079,22.702,37.393,49.704,0.75,1236.9,0.028362,17.988,43.541,2.4205,1.0931,1.4855,0.81898,1.1402,179.31,3,7.375
793.58,792,796,0.57864,0.05157,4.3684,32,24.055,3.0312,16.679,0.005305,75.677,2.3021,70.093,89.286,22.229,304.04,114.65,81.657,58.181,21.939,15.626,52.462,37.366,1.4,522.57,0.0067061,11.839,32.069,2.7088,1.175,1.3293,1.0699,1.1231,443.69,1,4.625
780.37,772,780,5.0129,0.58067,3.1729,92,70.802,9.0728,48.607,0.28,77.499,6.8209,59.055,93.168,291.81,1676.1,1705.3,865.72,36.926,37.571,19.073,59.567,30.24,1.97,4538.9,0.084185,34.415,94.029,2.7322,1.1998,1.6115,1.1717,0.69065,107.16,1,3.25
972.23,968,948,2.2305,-0.0046367,2.8229,68,47.229,4.8577,53.408,0.4085,61.86,3.0255,54.545,71.09,128.97,745.77,284.7,342.25,49.662,18.959,22.791,37.663,45.276,0.83,1501.7,0.027862,37.827,55.047,1.4553,1.0403,1.6352,0.80693,1.0367,171.8,2,4.875
