'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
647.63,648,652,0.83287,0.1935,3.2012,40,28.859,4.4562,9.8509,0,92.829,4.1271,80.645,105.63,86.658,450.21,76.617,61.239,66.725,11.355,9.0762,34.126,27.276,1.25,674.72,0.022385,6.9714,40.214,5.7684,0.91788,0.92627,1.2211,1.191,454.81,1,0.31746
754.69,752,728,2.5918,0.11631,2.4501,76,50.91,6.7458,24.584,0.060759,79.865,5.4016,67.568,104.17,447.8,1870.6,180.57,247.22,68.116,6.5754,9.0023,20.623,28.235,0.73,2746.2,0.00080302,17.405,69.862,4.0138,1.047,1.018,0.86831,1.2643,138.75,1,0.15873
715.32,712,716,0.92444,0.28521,3.0389,44,30.405,4.2505,22.155,0.023923,84.028,3.5474,73.892,95.541,61.717,332.32,207.25,197.25,41.616,25.954,24.701,44.454,42.308,1.05,798.54,0.0082008,15.684,40.036,2.5527,1.239,1.6776,0.8711,0.82723,539.99,2,2.0635
722.44,724,724,0.13646,-0.5255,8.0177,12,11.682,1.617,10.775,0.0048426,83.073,1.3587,78.125,93.168,10.19,55.523,21.111,25.11,49.603,18.86,22.433,37.423,44.512,0.84,111.93,0.013322,7.6285,14.654,1.9209,1.2402,1.8339,0.77702,1.0059,880.78,3,3.1746
1013.5,1016,1016,0.85354,-0.28782,2.5425,44,29.215,2.8825,20.312,0,59.248,1.7253,55.762,64.378,93.649,547.73,86.848,121.43,64.464,10.222,14.292,28.764,40.219,0.72,849.66,0.0060886,14.387,38.731,2.6921,1.0283,1.3876,1.0281,1.1981,351.44,1,0.47619
837.74,836,836,0.17443,-0.049619,2.4059,20,13.207,1.5765,11.953,0,71.639,1.1309,69.124,74.257,8.5851,83.81,25.101,53.914,48.895,14.644,31.453,28.654,61.546,0.47,171.41,0.035422,8.4639,16.65,1.9672,0.98322,1.9599,0.74711,1.0988,1893.7,3,4.6032
824.43,832,844,1.0203,-0.457,3.6009,40,31.943,3.8745,14.46,0.0027548,72.889,2.8909,64.378,83.333,70.506,589.42,142.99,66.262,67.814,16.451,7.6236,51.112,23.686,2.16,869.18,0.018624,10.191,44.13,4.3301,1.0642,1.269,1.3315,0.99276,242.17,2,1.4286
980.67,980,976,1.7176,-0.30182,3.3069,52,41.444,4.2261,24.37,0.036066,61.294,2.6402,54.945,70.755,148.73,952.12,682.88,163.76,48.89,35.065,8.4086,68.606,16.452,4.17,1947.5,0.043748,17.26,56.012,3.2451,1.1058,1.3764,1.3201,0.86858,176.79,1,0
876.98,880,888,1.853,-3.3996,31.374,32,43.047,4.9085,38.642,0.041298,68.632,4.596,60.976,132.74,22.215,415.44,501.75,737.16,24.779,29.927,43.968,39.786,58.452,0.68,1676.6,0.036226,27.364,54.38,1.9873,0.93009,0.96749,1.0198,0.7849,115.02,1,0
916.54,920,920,1.0146,-0.3026,2.2453,48,31.854,3.4754,15.828,0,65.543,2.3069,60.976,70.755,119.14,712.54,113.47,51.589,71.488,11.384,5.1758,39.926,18.153,2.2,996.74,0.0078361,11.209,43.631,3.8924,1.0635,1.3486,1.272,1.145,311.19,1,0.31746
853.63,860,868,0.53192,-0.70785,2.7702,30,23.063,2.7018,10.289,0,70.34,1.9402,66.372,75.758,69.446,359.96,49.253,24.589,71.528,9.7869,4.886,34.373,17.16,2,503.25,0.0069503,7.286,31.792,4.3635,0.90279,0.99596,1.1487,1.1896,774.67,1,0.15873
945.89,944,944,0.72451,0.26575,3.2929,32,26.917,2.8456,12.08,0.0063291,63.483,1.7976,57.034,67.873,48.804,385.35,76.404,45.619,69.286,13.737,8.2021,44.726,26.705,1.67,556.18,0.015163,8.5549,37.092,4.3358,0.98869,1.1322,1.3997,1.1854,452.24,3,5.2381
1043.1,1040,1040,0.67527,-0.15026,2.4308,36,25.986,2.4912,27.366,0.0035088,57.557,1.4412,54.348,61.224,51.367,272.6,29.271,280.25,43.031,4.6207,44.239,8.1109,77.655,0.1,633.48,0.19625,19.384,31.222,1.6107,0.86927,1.0653,0.40955,0.99321,605.16,2,2.2222
966.94,964,944,3.7976,0.29354,2.5486,96,61.624,6.3731,28.656,0.067961,62.3,3.9307,51.903,72.115,516.19,2137.4,434.54,268.68,63.674,12.945,8.004,35.636,22.034,1.62,3356.8,0.0028449,20.294,84.754,4.1764,1.0149,1.1239,0.97902,0.99723,96.82,1,0
792.08,792,788,0.32348,-1.1496,6.0367,20,17.986,2.2707,10.202,0,75.79,1.7724,71.77,84.27,12.989,206.01,65.538,24.898,66.577,21.18,8.046,63.368,24.073,2.63,309.44,0.016256,7.2235,24.388,3.3762,0.96974,1.9523,1.2582,1.2637,745.04,1,1.1111
1081.7,1080,1072,0.72356,-0.075874,7.1335,28,26.899,2.4868,27.022,0.025362,55.504,1.3912,49.834,64.103,23.574,317.53,146.64,243.48,43.424,20.054,33.298,35.446,58.855,0.6,731.23,0.018661,19.141,32.874,1.7174,1.1312,1.5797,0.84294,0.96355,204.75,1,0.31746
1008.5,1012,1020,1.0245,-0.72381,4.0129,41,32.009,3.174,18.842,0,59.558,1.9425,54.945,67.873,82.272,616.81,141.31,140.93,62.855,14.4,14.361,38.768,38.661,1,981.32,0.0051098,13.345,43.255,3.2412,1.0538,1.4616,0.95069,1.248,283.88,1,0.31746
862.54,856,844,5.4838,0.35478,2.6089,108,74.052,8.5854,41.717,0.19942,70.067,5.9281,56.818,82.873,525.36,2693.5,2399.8,699.84,42.629,37.98,11.076,66.201,19.306,3.43,6318.5,0.027469,29.539,100.47,3.4014,1.0951,1.3737,1.2585,0.68479,84.875,1,0.63492
977.34,976,980,0.80799,4.2698,40.924,24,28.425,2.9084,25.27,0.019737,61.438,1.623,47.17,64.935,25.875,211.76,58.693,72.257,57.452,15.924,19.604,37.426,46.075,0.81,368.59,0.10219,17.898,35.995,2.0111,1.1747,1.4737,0.77407,1.0992,141.47,3,5.3968
827.37,832,840,0.73299,-0.10559,2.8749,40,27.074,3.2723,15.371,0.0027701,72.597,2.3909,66.667,79.787,89.008,506.86,150.87,86.115,60.858,18.115,10.34,46.279,26.417,1.75,832.84,0.012134,10.884,36.708,3.3726,1.1605,1.3792,1.1446,1.1744,414.36,2,1.746
978.76,980,972,0.55704,0.093345,2.648,34,23.602,2.4114,20.757,0.0066007,61.337,1.4779,57.915,65.217,54.416,253,69.93,154.55,47.566,13.148,29.056,25.074,55.414,0.45,531.89,0.0099244,14.701,29.966,2.0383,1.2355,1.6702,0.78248,0.84426,354.22,3,7.3016
948.99,948,956,0.76225,0.035398,2.3065,40,27.609,2.9093,22.664,0,63.279,1.8421,59.289,68.182,79.421,374.91,96.264,193.07,50.414,12.945,25.962,26.105,52.357,0.5,743.67,0.007625,16.052,35.593,2.2174,1.1667,1.6457,0.77702,1.0072,599.15,2,1.4286
1064.2,1076,1092,2.1666,-2.3636,9.8108,36,46.547,4.3738,21.856,0.010753,56.501,2.7864,53.191,70.755,63.796,1045.6,263.03,164.34,68.04,17.115,10.694,53.552,33.46,1.6,1536.8,0.16352,15.477,63.982,4.1339,0.96656,1.0821,1.4706,0.9709,158.08,1,0.95238
905.31,900,896,1.4441,-0.0049493,4.0173,48,38.001,4.1976,20.703,0.0090909,66.393,2.8117,59.289,78.534,96.03,893.32,371.15,142.72,59.427,24.691,9.4944,60.854,23.401,2.6,1503.2,0.074016,14.661,51.704,3.5265,1.0802,1.6482,1.3088,1.0691,260.3,3,5.2381
756.46,760,764,0.18015,-0.24565,3.0604,16,13.422,1.7743,6.7957,0,79.341,1.4152,74.627,83.333,24.244,118.13,25.979,16.002,64.077,14.092,8.6802,39.228,24.163,1.62,184.35,0.0029045,4.8114,18.362,3.8163,1.1011,1.597,1.0172,1.1097,1200.1,1,0.63492
724.19,724,728,0.17476,-0.19971,2.5777,16,13.22,1.8254,10.922,0,82.878,1.5196,79.365,87.719,11.836,76.521,25.695,43.278,48.637,16.332,27.508,31.797,53.556,0.59,157.33,0.034035,7.7321,17.022,2.2014,1.1223,2.166,0.78898,0.90095,1426.7,2,1.2698
917.97,916,912,0.4155,-1.0185,12.224,20,20.384,2.2205,16.503,0.006135,65.395,1.499,61.475,78.534,16.604,212.19,76.994,89.736,53.648,19.466,22.688,41.997,48.947,0.86,395.53,0.0075434,11.687,26.351,2.2547,0.9504,1.0045,1.0332,1.1761,304.47,1,0.31746
893.41,892,900,0.62147,0.06943,9.4995,32,24.929,2.7903,23.602,0.021021,67.211,1.8906,57.692,79.365,4.9026,158.79,180.08,119.25,34.295,38.892,25.755,59.191,39.197,1.51,463.02,0.083871,17.038,30.741,1.8043,1.05,1.1502,1.0565,0.88961,277.22,1,1.1111
775.81,780,780,0.32454,-0.53465,2.9531,24,18.015,2.3221,16.162,0,77.38,1.8219,73.892,83.799,20.276,108.26,59.805,109.26,36.378,20.096,36.714,31.586,57.706,0.55,297.6,0.010967,11.443,22.763,1.9893,0.80742,2.3462,0.7432,0.79707,760.6,3,4.6032
1030.3,1036,1040,0.89792,-0.80303,4.4077,44,29.965,2.9084,14.092,0.0069204,58.285,1.7423,54.945,66.372,62.224,426.57,110.49,49.344,65.765,17.035,7.6074,49.758,22.221,2.24,648.63,0.084969,9.9753,41.187,4.1288,1.0057,1.0917,1.5787,1.0508,280.17,2,1.4286
908.3,908,916,1.0392,0.63696,7.9333,36,32.236,3.5491,24.118,0.012384,66.14,2.3201,54.152,74.257,51.055,454.2,504.86,204.89,37.383,41.552,16.863,66.359,26.931,2.46,1215,0.063766,17.079,42.269,2.475,1.0222,1.2598,1.2686,0.71233,214.52,1,0.47619
712.17,708,712,0.54282,1.1681,7.4724,28,23.299,3.2715,11.126,0.0023923,84.336,2.6762,69.444,90.909,6.9017,355.13,118.31,30.46,69.524,23.162,5.9633,75.999,19.567,3.88,510.8,0.26589,7.8762,31.994,4.0621,0.92403,0.92605,1.3582,1.2452,511.18,2,1.2698
838.29,840,828,0.90065,0.29798,4.5641,44,30.011,3.58,28.805,0.053371,71.666,2.5534,59.761,78.534,41.963,368.55,184.94,265.46,42.81,21.481,30.835,37.561,53.916,0.7,860.91,0.028736,20.396,37.22,1.8249,1.1829,1.8164,0.7784,0.92121,261.17,2,1.4286
790.49,796,804,0.95134,-0.31376,2.9168,46,30.844,3.9018,19.671,0.013298,76.019,3.0157,67.265,87.209,128.02,606.21,81.286,122.67,64.615,8.6642,13.075,24.486,36.952,0.66,938.19,0.0017748,13.928,41.336,2.9679,1.0373,1.151,0.82584,1.205,356.31,3,3.9683
878.11,880,884,0.43816,-1.2832,13.834,24,20.932,2.3838,20.199,0.020588,68.369,1.7009,64.378,84.27,18.311,126.79,124.86,92.394,34.99,34.458,25.498,53.004,39.222,1.35,362.35,0.053447,14.304,25.918,1.8119,1.1058,1.2455,0.98008,0.76522,254.77,1,0.31746
